iata,icao
AAN,OMAL
AUH,OMAA
AYM,
AZI,OMAD
DHF,OMAM
XSB,OMBY
ZDY,OMDL
FJR,OMFJ
SHJ,OMSJ
DCG,
DJH,
DWC,OMDW
DXB,OMDB
NHD,OMDM
RHR,
RKT,OMRK
DAZ,OADZ
FBD,OAFZ
KUR,OARZ
KWH,OAHN
SGA,OASN
LQN,OAQN
MZR,OAMS
BIN,OABN
FAH,OAFR
MMZ,OAMN
GZI,OAGN
SBF,OADS
CCN,OACC
BST,OABT
DWR,OADY
OAZ,OAZI
HEA,OAHR
OAH,OASD
ZAJ,OAZJ
GRG,OAGZ
KBL,OAKB
KDH,OAKN
TII,OATN
URZ,OARG
KHT,OAKS
OLR,OASL
UND,OAUZ
OAA,OASH
JAA,OAJL
OAS,OASA
URN,OAOG
OAI,OAIX
TQN,OATQ
BBQ,TAPH
ANU,TAPA
AXA,TQPF
EVN,UDYZ
LWN,UDSG
AZZ,FNAM
BUG,FNBG
CBT,FNCT
LLT,FNLB
ANL,
SVP,FNKU
CAB,FNCA
VPE,FNGI
XGN,FNXA
NOV,FNHU
JMB,
SDD,FNUB
CTI,FNCV
DRC,
SPP,FNME
NDF,
CEO,FNWK
NDD,FNSU
PBN,FNPA
LAD,FNLU
CFF,FNCF
DUE,FNDU
LBZ,FNLK
LZM,FNLZ
NZA,FNZG
PGI,FNCH
VHC,FNSA
KNP,FNCP
MEG,FNMA
CAV,FNCZ
CNZ,
GGC,
LUO,FNUE
UAL,FNUA
MSZ,FNMO
GXG,FNNG
UGO,FNUG
ARZ,FNZE
SSY,FNBC
SZA,FNSO
TNM,SCRM
AEP,SABE
BHI,SAZB
CPG,
CSZ,SAZC
EPA,SADP
EZE,SAEZ
JNI,SAAJ
LPG,SADL
MDQ,SAZM
MJR,
NEC,SAZO
OVR,SAZF
OYO,SAZH
PEH,SAZP
SST,SAZL
TDL,SAZT
VGS,
VLG,SAZV
CTC,SANC
CNT,
PRQ,SARS
RES,SARE
ARR,SAVR
CRD,SAVC
EMX,SAVD
EQS,SAVE
JSM,SAWS
OLN,SAVM
PMY,SAVY
REL,SAVT
ROY,SAWM
COR,SACO
LCM,SACC
RCU,SAOC
VDR,SAOD
AOL,SARL
CNQ,SARC
MCS,SARM
MDX,SATM
OYA,SATG
