hub,destination,# flights/wk,# flights/yr,miles,seats
ORD,LHR,21,1095.75,,
ORD,FRA,14,730.5,,
ORD,CDG,7,365.25,,
ORD,MUC,7,365.25,,
ORD,ZRH,7,365.25,,
ORD,DUB,7,365.25,,
ORD,FCO,7,365.25,,
ORD,KEF,7,365.25,,
ORD,AMS,7,365.25,,
ORD,BCN,7,365.25,,
ORD,ATH,6,313.0714286,,
ORD,MXP,7,365.25,,
ORD,BRU,7,365.25,,
ORD,EDI,7,365.25,,
ORD,SNN,6,313.0714286,,
ORD,TLV,1,52.17857143,,
EWR,LHR,42,2191.5,,
EWR,TLV,21,1095.75,,
EWR,CDG,15,782.6785714,,
EWR,DUB,14,730.5,,
EWR,LIS,7,365.25,,
EWR,OPO,13,678.3214286,,
EWR,ATH,7,365.25,,
EWR,BRU,14,730.5,,
EWR,EDI,13,678.3214286,,
EWR,FCO,14,730.5,,
EWR,FRA,7,365.25,,
EWR,KEF,6,313.0714286,,
EWR,MUC,7,365.25,,
EWR,NAP,13,678.3214286,,
EWR,ZRH,7,365.25,,
EWR,MXP,7,365.25,,
EWR,DEL,7,365.25,,
EWR,NCE,7,365.25,,
EWR,AGP,7,365.25,,
EWR,AMS,7,365.25,,
EWR,ARN,7,365.25,,
EWR,BCN,7,365.25,,
EWR,DXB,7,365.25,,
EWR,BER,7,365.25,,
EWR,GVA,7,365.25,,
EWR,JNB,7,365.25,,
EWR,MAD,7,365.25,,
EWR,SNN,7,365.25,,
EWR,VCE,7,365.25,,
EWR,PDL,7,365.25,,
EWR,DBV,4,208.7142857,,
EWR,FAO,4,208.7142857,,
EWR,BOM,3,156.5357143,,
EWR,CPT,3,156.5357143,,
EWR,PMI,3,156.5357143,,
EWR,TFS,3,156.5357143,,
DEN,LHR,14,730.5,,
DEN,FRA,7,365.25,,
DEN,MUC,7,365.25,,
LAX,LHR,14,730.5,,
SFO,LHR,21,1095.75,,
SFO,FRA,14,730.5,,
SFO,CDG,7,365.25,,
SFO,AMS,7,365.25,,
SFO,MUC,7,365.25,,
SFO,ZRH,7,365.25,,
SFO,FCO,7,365.25,,
SFO,BCN,6,313.0714286,,
SFO,TLV,1,52.17857143,,
IAH,LHR,14,730.5,,
IAH,FRA,7,365.25,,
IAH,AMS,7,365.25,,
IAH,MUC,7,365.25,,
IAD,LHR,14,730.5,,
IAD,CDG,14,730.5,,
IAD,FRA,14,730.5,,
IAD,DUB,7,365.25,,
IAD,FCO,14,730.5,,
IAD,LIS,7,365.25,,
IAD,MUC,7,365.25,,
IAD,ZRH,7,365.25,,
IAD,AMS,7,365.25,,
IAD,BRU,7,365.25,,
IAD,MAD,7,365.25,,
IAD,BCN,7,365.25,,
IAD,EDI,7,365.25,,
IAD,GVA,7,365.25,,
IAD,ATH,7,365.25,,
IAD,CPT,3,156.5357143,,
IAD,ACC,3,156.5357143,,
IAD,TLV,3,156.5357143,,
IAD,AMM,3,156.5357143,,
IAD,LOS,3,156.5357143,,
EWR,BOM,7,365.25,,
,,,39603.53571,,
