hub,destination,,,,
DEN,SLC,,,,
DEN,PHX,,,,
DEN,SEA,,,,
DEN,LAS,,,,
DEN,MSP,,,,
DEN,DFW,,,,
DEN,ATL,,,,
DEN,SAN,,,,
DEN,COS,,,,
DEN,PDX,,,,
DEN,MCO,,,,
DEN,AUS,,,,
DEN,BOS,,,,
DEN,MCI,,,,
DEN,SMF,,,,
DEN,LGA,,,,
DEN,BNA,,,,
DEN,STL,,,,
DEN,SNA,,,,
DEN,BWI,,,,
DEN,PHL,,,,
DEN,SJC,,,,
DEN,SAT,,,,
DEN,OMA,,,,
DEN,MKE,,,,
DEN,BZN,,,,
DEN,DTW,,,,
DEN,IND,,,,
DEN,ONT,,,,
DEN,TPA,,,,
DEN,ABQ,,,,
DEN,CLT,,,,
DEN,OKC,,,,
DEN,BOI,,,,
DEN,ASE,,,,
DEN,RNO,,,,
DEN,MIA,,,,
DEN,RAP,,,,
DEN,DSM,,,,
DEN,TUL,,,,
DEN,TUS,,,,
DEN,BUR,,,,
DEN,CPR,,,,
DEN,GEG,,,,
DEN,PIT,,,,
DEN,RDU,,,,
DEN,CLE,,,,
DEN,ELP,,,,
DEN,MSY,,,,
DEN,CMH,,,,
DEN,CVG,,,,
DEN,BIL,,,,
DEN,DRO,,,,
DEN,GJT,,,,
DEN,FSD,,,,
DEN,LIT,,,,
DEN,JAC,,,,
DEN,PSP,,,,
DEN,SGF,,,,
DEN,EGE,,,,
DEN,FAT,,,,
DEN,FLL,,,,
DEN,HDN,,,,
DEN,IDA,,,,
DEN,LNK,,,,
DEN,MTJ,,,,
DEN,SAF,,,,
DEN,SBA,,,,
DEN,YYZ,,,,
DEN,DCA,,,,
DEN,GRR,,,,
DEN,MSN,,,,
DEN,XWA,,,,
DEN,XNA,,,,
DEN,MAF,,,,
DEN,MSO,,,,
DEN,MEM,,,,
DEN,ANC,,,,
DEN,BIS,,,,
DEN,COD,,,,
DEN,EUG,,,,
DEN,SDF,,,,
DEN,BDL,,,,
DEN,BHM,,,,
DEN,CID,,,,
DEN,FCA,,,,
DEN,YYC,,,,
DEN,TYS,,,,
DEN,GUC,,,,
DEN,AMA,,,,
DEN,CHS,,,,
DEN,GCC,,,,
DEN,GTF,,,,
DEN,HLN,,,,
DEN,HNL,,,,
DEN,HSV,,,,
DEN,JAX,,,,
DEN,MRY,,,,
DEN,RIW,,,,
DEN,MFR,,,,
DEN,SHR,,,,
DEN,MOT,,,,
DEN,PSC,,,,
DEN,RDM,,,,
DEN,RIC,,,,
DEN,SBP,,,,
DEN,SUN,,,,
DEN,YEG,,,,
DEN,CYS,,,,
DEN,DIK,,,,
DEN,BFF,,,,
DEN,BFL,,,,
DEN,HYS,,,,
DEN,LAR,,,,
DEN,LBB,,,,
DEN,LBF,,,,
DEN,ORF,,,,
DEN,PNS,,,,
DEN,SAV,,,,
DEN,SGU,,,,
DEN,AVL,,,,
DEN,SYR,,,,
DEN,ECP,,,,
DEN,RKS,,,,
DEN,GSP,,,,
DEN,ATW,,,,
DEN,RSW,,,,
DEN,OGG,,,,
DEN,DAY,,,,
DEN,SUX,,,,
DEN,GSO,,,,
DEN,BIH,7,50,762,12/19/2024
DEN,LWS,,,,
DEN,LEX,,,,
DEN,JMS,,,,
DEN,KOA,,,,
DEN,LBL,,,,
DEN,LIH,,,,
DEN,MLI,,,,
DEN,PRC,,,,
DEN,PWM,,,,
DEN,SHV,,,,
DEN,SLN,,,,
DEN,BTV,,,,
DEN,HOB,,,,
DEN,YWG,,,,
DEN,FAI,,,,
DEN,SRQ,7,148,1538,12/19/2024
DEN,DVL,,,,
DEN,TVC,,,,
DEN,ACV,,,,
DEN,DDC,,,,
DEN,JLN,,,,
DEN,MYR,,,,
DEN,OTH,,,,
DEN,WYS,,,,
DEN,PBI,1,179,1687,12/21/2024
