hub,destination,,,,,
EWR,ATL,,,,,
EWR,MCO,,,,,
EWR,YYZ,,,,,
EWR,BOS,,,,,
EWR,CLT,,,,,
EWR,FLL,,,,,
EWR,DFW,,,,,
EWR,DTW,,,,,
EWR,MIA,,,,,
EWR,DCA,,,,,
EWR,YUL,,,,,
EWR,LAS,,,,,
EWR,PIT,,,,,
EWR,PHX,,,,,
EWR,MSP,,,,,
EWR,TPA,,,,,
EWR,PBI,,,,,
EWR,SEA,,,,,
EWR,IND,,,,,
EWR,RDU,,,,,
EWR,CVG,,,,,
EWR,BNA,,,,,
EWR,CLE,,,,,
EWR,CMH,,,,,
EWR,YOQ,,,,,
EWR,RIC,,,,,
EWR,SAN,,,,,
EWR,AUS,,,,,
EWR,RSW,,,,,
EWR,CHS,,,,,
EWR,MYR,,,,,
EWR,MSY,,,,,
EWR,PWM,,,,,
EWR,GSO,,,,,
EWR,MDT,,,,,
EWR,BTV,,,,,
EWR,GRR,,,,,
EWR,JAX,,,,,
EWR,ORF,,,,,
EWR,PDX,,,,,
EWR,SDF,,,,,
EWR,SLC,,,,,
EWR,SNA,,,,,
EWR,STL,,,,,
EWR,YHZ,,,,,
EWR,GSP,,,,,
EWR,MKE,,,,,
EWR,ROC,,,,,
EWR,SYR,,,,,
EWR,ALB,,,,,
EWR,BUF,,,,,
EWR,ILM,,,,,
EWR,PVD,,,,,
EWR,SAT,,,,,
EWR,AVL,,,,,
EWR,ACK,,,,,
EWR,SRQ,,,,,
EWR,PHL,,,,,
EWR,BGR,,,,,
EWR,ITH,,,,,
EWR,MHT,,,,,
EWR,SAV,,,,,
EWR,YQB,,,,,
EWR,YVR,,,,,
EWR,SCE,,,,,
EWR,PQI,,,,,
EWR,AVP,,,,,
EWR,MCI,,,,,
EWR,MEM,,,,,
EWR,MSN,,,,,
EWR,BZN,,,,,
EWR,EGE,,,,12/19/2024,
EWR,ANC,,,,,
EWR,EYW,,,,,
EWR,TVC,,,,,
EWR,HNL,7,276,4981,11/22/2024,Boeing 767
EWR,JAC,,,,,
EWR,MTJ,7,,18--,12/19/2024,A31/32
EWR,HHH,,,,,
EWR,SMF,,,,,
EWR,HDN,,,,,
EWR,OMA,,,,,
