hub,destination,,,
ORD,DEN,67,199,886
ORD,LAX,59,215,1743
ORD,EWR,79,168,717
ORD,IAH,74,172,930
ORD,SFO,70,236,1851
ORD,IAD,34,165,587
EWR,LAX,60,229,2462
EWR,ORD,79,167,721
EWR,IAH,67,172,1405
EWR,SFO,60,230,2573
EWR,DEN,61,173,1609
EWR,IAD,34,123,212
DEN,LAX,60,176,865
DEN,ORD,67,198,891
DEN,SFO,61,222,970
DEN,IAH,75,190,866
DEN,EWR,61,174,1609
DEN,IAD,47,208,1457
LAX,SFO,52,169,339
LAX,DEN,61,178,865
LAX,ORD,58,216,1750
LAX,IAH,68,178,1384
LAX,EWR,60,226,2462
LAX,IAD,40,215,2296
SFO,LAX,52,169,339
SFO,ORD,71,237,1851
SFO,DEN,61,223,970
SFO,EWR,60,229,2573
SFO,IAH,61,200,1641
SFO,IAD,41,231,2426
IAH,ORD,75,173,930
IAH,DEN,75,188,866
IAH,LAX,68,176,1384
IAH,EWR,68,170,1405
IAH,SFO,61,201,1641
IAH,IAD,34,160,1195
IAD,DEN,47,202,1457
IAD,LAX,40,218,2296
IAD,SFO,40,225,2426
IAD,IAH,34,160,1195
IAD,ORD,34,166,590
IAD,EWR,34,122,212
