hub,destination,
IAD,ATL,
IAD,CLT,
IAD,DTW,
IAD,DFW,
IAD,SYR,
IAD,IND,
IAD,MSP,
IAD,CLE,
IAD,CVG,
IAD,BUF,
IAD,PWM,
IAD,ROA,
IAD,YYZ,
IAD,LGA,
IAD,MCO,
IAD,RIC,
IAD,BTV,
IAD,CHS,
IAD,DAY,
IAD,SAN,
IAD,BDL,
IAD,MCI,
IAD,SAV,
IAD,TYS,
IAD,ALB,
IAD,AUS,
IAD,ORF,
IAD,PIT,
IAD,PVD,
IAD,RDU,
IAD,BNA,
IAD,CMH,
IAD,ROC,
IAD,JAX,
IAD,SDF,
IAD,CAE,
IAD,CHO,
IAD,YOW,
IAD,TPA,
IAD,MSY,
IAD,SAT,
IAD,LAS,
IAD,FLL,
IAD,HSV,
IAD,PHX,
IAD,STL,
IAD,MOB,
IAD,JST,
IAD,MDT,
IAD,YVR,
IAD,SCE,
IAD,ANC,
IAD,PDX,
IAD,AVP,
IAD,RSW,
IAD,YYC,
IAD,MIA,
IAD,SMF,
IAD,EYW,1
IAD,SRQ,1
IAD,BZN,
IAD,MSN,2
IAD,TVC,
IAD,HDN,
IAD,HNL,
IAD,MYR,
IAD,PBI,7
IAD,PSP,7
IAD,GSO,7
IAD,GSP,7
IAD,MKE,5
