hub,destination,miles,seats/flight,flights/week
ORD,LHR,3946.0,195.0,21.0
ORD,FRA,4336.0,318.0,14.0
ORD,CDG,4146.0,318.0,7.0
ORD,MUC,4522.0,318.0,7.0
ORD,ZRH,4436.0,197.0,7.0
ORD,DUB,3667.0,162.0,7.0
ORD,FCO,4816.0,319.0,7.0
ORD,KEF,2939.0,170.0,7.0
ORD,AMS,4113.0,250.0,7.0
ORD,BCN,4413.0,278.0,7.0
ORD,ATH,5456.0,255.0,7.0
ORD,MXP,4516.0,249.0,7.0
ORD,BRU,4152.0,318.0,7.0
ORD,EDI,3706.0,170.0,7.0
ORD,SNN,3584.0,158.0,7.0
ORD,TLV,,,
EWR,LHR,3459.0,198.0,42.0
EWR,TLV,5686.0,318.0,7.0
EWR,CDG,3643.0,239.0,14.0
EWR,DUB,3188.0,192.0,13.0
EWR,LIS,3380.0,303.0,7.0
EWR,OPO,3335.0,158.0,14.0
EWR,ATH,4950.0,318.0,7.0
EWR,BRU,3674.0,225.0,14.0
EWR,EDI,3262.0,161.0,13.0
EWR,FCO,4287.0,274.0,13.0
EWR,FRA,3863.0,318.0,7.0
EWR,KEF,2598.0,169.0,7.0
EWR,MUC,4045.0,239.0,7.0
EWR,NAP,4410.0,186.0,13.0
EWR,ZRH,3939.0,182.0,7.0
EWR,MXP,4004.0,273.0,7.0
EWR,DEL,7319.0,253.0,7.0
EWR,NCE,4001.0,193.0,7.0
EWR,AGP,3671.0,158.0,7.0
EWR,AMS,3651.0,274.0,7.0
EWR,ARN,3924.0,162.0,5.0
EWR,BCN,3842.0,272.0,7.0
EWR,DXB,6857.0,272.0,7.0
EWR,BER,,,
EWR,GVA,3872.0,189.0,7.0
EWR,JNB,8004.0,253.0,7.0
EWR,MAD,3602.0,241.0,7.0
EWR,SNN,3090.0,168.0,7.0
EWR,VCE,4162.0,241.0,7.0
EWR,PDL,2573.0,166.0,4.0
EWR,DBV,4520.0,242.0,4.0
EWR,FAO,,,
EWR,BOM,,,
EWR,CPT,7834.0,273.0,3.0
EWR,PMI,3929.0,242.0,3.0
EWR,TFS,,,
DEN,LHR,4663.0,254.0,14.0
DEN,FRA,5032.0,254.0,7.0
DEN,MUC,5218.0,254.0,7.0
LAX,LHR,5449.0,254.0,14.0
SFO,LHR,5360.0,294.0,21.0
SFO,FRA,5691.0,350.0,14.0
SFO,CDG,5576.0,274.0,7.0
SFO,AMS,5466.0,276.0,7.0
SFO,MUC,5871.0,275.0,7.0
SFO,ZRH,5833.0,274.0,7.0
SFO,FCO,6257.0,271.0,7.0
SFO,BCN,5963.0,275.0,7.0
SFO,TLV,,,
IAH,LHR,4829.0,272.0,14.0
IAH,FRA,5227.0,272.0,7.0
IAH,AMS,5008.0,274.0,7.0
IAH,MUC,5412.0,214.0,7.0
IAD,LHR,3671.0,273.0,14.0
IAD,CDG,3855.0,242.0,14.0
IAD,FRA,4075.0,312.0,14.0
IAD,DUB,3399.0,158.0,7.0
IAD,FCO,4499.0,257.0,14.0
IAD,LIS,3587.0,231.0,7.0
IAD,MUC,4257.0,214.0,7.0
IAD,ZRH,4151.0,214.0,7.0
IAD,AMS,3862.0,242.0,7.0
IAD,BRU,3886.0,350.0,7.0
IAD,MAD,3811.0,241.0,7.0
IAD,BCN,4054.0,241.0,7.0
IAD,EDI,3472.0,166.0,7.0
IAD,GVA,4085.0,212.0,7.0
IAD,ATH,5162.0,242.0,7.0
IAD,CPT,7940.0,273.0,3.0
IAD,ACC,5299.0,243.0,3.0
IAD,TLV,,,
IAD,AMM,5959.0,243.0,3.0
IAD,LOS,5444.0,242.0,3.0
EWR,BOM,,,
