hub,destination,miles,seats/flight,flights/week
DEN,SLC,390.0,111.0,51.0
DEN,PHX,602.0,161.0,34.0
DEN,SEA,1022.0,152.0,46.0
DEN,LAS,627.0,167.0,40.0
DEN,MSP,679.0,155.0,40.0
DEN,DFW,642.0,136.0,39.0
DEN,ATL,1198.0,151.0,20.0
DEN,SAN,852.0,169.0,46.0
DEN,COS,72.0,65.0,80.0
DEN,PDX,990.0,149.0,40.0
DEN,MCO,1546.0,177.0,38.0
DEN,AUS,776.0,154.0,40.0
DEN,BOS,1751.0,168.0,43.0
DEN,MCI,532.0,144.0,33.0
DEN,SMF,908.0,156.0,41.0
DEN,LGA,1617.0,163.0,37.0
DEN,BNA,1012.0,140.0,26.0
DEN,STL,768.0,152.0,21.0
DEN,SNA,845.0,151.0,34.0
DEN,BWI,1489.0,162.0,20.0
DEN,PHL,1555.0,153.0,21.0
DEN,SJC,947.0,136.0,34.0
DEN,SAT,796.0,170.0,27.0
DEN,OMA,471.0,151.0,27.0
DEN,MKE,894.0,105.0,27.0
DEN,BZN,524.0,125.0,34.0
DEN,DTW,1121.0,125.0,14.0
DEN,IND,975.0,141.0,20.0
DEN,ONT,818.0,139.0,19.0
DEN,TPA,1506.0,164.0,20.0
DEN,ABQ,349.0,120.0,27.0
DEN,CLT,1336.0,129.0,14.0
DEN,OKC,495.0,72.0,27.0
DEN,BOI,648.0,133.0,34.0
DEN,ASE,124.0,70.0,55.0
DEN,RNO,802.0,156.0,27.0
DEN,MIA,1709.0,165.0,14.0
DEN,RAP,300.0,100.0,46.0
DEN,DSM,587.0,132.0,27.0
DEN,TUL,541.0,90.0,27.0
DEN,TUS,639.0,83.0,20.0
DEN,BUR,849.0,147.0,14.0
DEN,CPR,229.0,50.0,37.0
DEN,GEG,835.0,144.0,20.0
DEN,PIT,1287.0,159.0,20.0
DEN,RDU,1435.0,156.0,20.0
DEN,CLE,1199.0,168.0,20.0
DEN,ELP,564.0,80.0,14.0
DEN,MSY,1062.0,132.0,14.0
DEN,CMH,1152.0,163.0,14.0
DEN,CVG,1067.0,166.0,14.0
DEN,BIL,455.0,108.0,33.0
DEN,DRO,250.0,97.0,34.0
DEN,GJT,211.0,95.0,33.0
