hub,destination,miles,seats/flight,flights/week
IAD,ATL,533.0,145.0,27.0
IAD,CLT,321.0,98.0,27.0
IAD,DTW,382.0,72.0,20.0
IAD,DFW,1170.0,138.0,20.0
IAD,SYR,296.0,50.0,27.0
IAD,IND,475.0,73.0,27.0
IAD,MSP,907.0,71.0,14.0
IAD,CLE,287.0,94.0,27.0
IAD,CVG,387.0,67.0,28.0
IAD,BUF,284.0,57.0,19.0
IAD,PWM,492.0,73.0,27.0
IAD,ROA,176.0,54.0,18.0
IAD,YYZ,346.0,77.0,28.0
IAD,LGA,228.0,72.0,27.0
IAD,MCO,760.0,171.0,27.0
IAD,RIC,99.0,50.0,26.0
IAD,BTV,441.0,62.0,25.0
IAD,CHS,442.0,90.0,20.0
IAD,DAY,367.0,49.0,17.0
IAD,SAN,2251.0,235.0,20.0
IAD,BDL,325.0,110.0,27.0
IAD,MCI,924.0,78.0,14.0
IAD,SAV,516.0,73.0,20.0
IAD,TYS,419.0,49.0,27.0
IAD,ALB,325.0,49.0,27.0
IAD,AUS,1296.0,142.0,20.0
IAD,ORF,157.0,85.0,27.0
IAD,PIT,182.0,71.0,27.0
IAD,PVD,371.0,51.0,26.0
IAD,RDU,224.0,119.0,27.0
IAD,BNA,541.0,155.0,20.0
IAD,CMH,298.0,73.0,27.0
IAD,ROC,288.0,60.0,19.0
IAD,JAX,631.0,128.0,20.0
IAD,SDF,450.0,71.0,20.0
IAD,CAE,401.0,49.0,14.0
IAD,CHO,77.0,49.0,19.0
IAD,YOW,450.0,50.0,20.0
IAD,TPA,812.0,172.0,20.0
IAD,MSY,955.0,132.0,14.0
IAD,SAT,1362.0,150.0,14.0
IAD,LAS,2063.0,173.0,14.0
IAD,FLL,903.0,178.0,14.0
IAD,HSV,595.0,49.0,20.0
IAD,PHX,1954.0,172.0,14.0
IAD,STL,694.0,50.0,14.0
IAD,MOB,,,
IAD,JST,119.0,50.0,6.0
IAD,MDT,,,
IAD,YVR,2341.0,166.0,7.0
IAD,SCE,133.0,,
IAD,ANC,3352.0,166.0,7.0
IAD,PDX,2324.0,156.0,7.0
IAD,AVP,,,
IAD,RSW,893.0,170.0,7.0
IAD,YYC,1949.0,,
IAD,MIA,924.0,168.0,7.0
IAD,SMF,2354.0,121.0,7.0
IAD,EYW,,,
IAD,SRQ,,117.0,
IAD,BZN,1771.0,76.0,2.0
IAD,MSN,,,
IAD,TVC,,,
IAD,HDN,,,
IAD,HNL,4815.0,242.0,1.0
IAD,MYR,372.0,76.0,1.0
IAD,PBI,,,
IAD,PSP,,,
IAD,GSO,,,
IAD,GSP,,,
IAD,MKE,,,
