hub,destination,miles,seats/flight,flights/week
IAH,DFW,224.0,115.0,39.0
IAH,ATL,688.0,125.0,31.0
IAH,LAS,1221.0,163.0,40.0
IAH,LGA,1416.0,115.0,50.0
IAH,MCO,853.0,164.0,40.0
IAH,MIA,963.0,169.0,21.0
IAH,DTW,1076.0,119.0,18.0
IAH,MSY,304.0,137.0,53.0
IAH,BNA,656.0,104.0,39.0
IAH,PHX,1008.0,145.0,34.0
IAH,CLT,912.0,112.0,21.0
IAH,SAT,190.0,113.0,54.0
IAH,AUS,139.0,136.0,54.0
IAH,OKC,396.0,80.0,37.0
IAH,FLL,965.0,165.0,26.0
IAH,CRP,201.0,63.0,28.0
IAH,SEA,1874.0,161.0,27.0
IAH,BOS,1597.0,164.0,34.0
IAH,PHL,1324.0,139.0,19.0
IAH,MAF,428.0,75.0,45.0
IAH,MSP,1036.0,97.0,17.0
IAH,ELP,666.0,68.0,28.0
IAH,LFT,200.0,57.0,29.0
IAH,SAN,1302.0,172.0,34.0
IAH,MFE,316.0,90.0,27.0
IAH,SLC,1195.0,124.0,20.0
IAH,TUL,430.0,97.0,17.0
IAH,BTR,252.0,60.0,32.0
IAH,DCA,1207.0,134.0,38.0
IAH,XNA,439.0,61.0,34.0
IAH,HSV,594.0,50.0,27.0
IAH,LIT,375.0,63.0,21.0
IAH,MEM,469.0,125.0,14.0
IAH,SHV,192.0,49.0,33.0
IAH,TYS,771.0,49.0,27.0
IAH,TPA,786.0,168.0,27.0
IAH,BHM,561.0,62.0,15.0
IAH,BRO,309.0,55.0,29.0
IAH,BWI,1235.0,138.0,19.0
IAH,CLE,1092.0,151.0,25.0
IAH,CVG,871.0,101.0,24.0
IAH,HRL,295.0,56.0,27.0
IAH,ICT,543.0,49.0,27.0
IAH,JAN,350.0,49.0,27.0
IAH,MOB,426.0,52.0,17.0
IAH,PNS,488.0,74.0,28.0
IAH,SGF,514.0,49.0,27.0
IAH,SNA,1345.0,139.0,27.0
IAH,YYZ,1281.0,136.0,14.0
IAH,ABQ,743.0,89.0,27.0
IAH,STL,668.0,117.0,23.0
IAH,IND,845.0,139.0,25.0
IAH,LBB,457.0,49.0,25.0
IAH,LRD,301.0,50.0,26.0
IAH,MCI,645.0,91.0,25.0
IAH,RDU,1042.0,134.0,20.0
IAH,PIB,371.0,50.0,11.0
IAH,LCH,126.0,49.0,19.0
IAH,YYC,1750.0,147.0,12.0
IAH,AMA,517.0,50.0,18.0
IAH,ECP,571.0,52.0,8.0
IAH,GPT,376.0,49.0,20.0
IAH,JAX,816.0,136.0,20.0
IAH,PDX,1824.0,150.0,20.0
IAH,YVR,1971.0,153.0,14.0
IAH,SDF,788.0,76.0,8.0
IAH,PIT,1117.0,116.0,24.0
IAH,CMH,986.0,123.0,18.0
IAH,CHS,924.0,96.0,14.0
IAH,DSM,804.0,104.0,14.0
IAH,GSP,837.0,105.0,12.0
IAH,HNL,3902.0,349.0,14.0
IAH,MKE,986.0,75.0,8.0
IAH,OMA,783.0,101.0,20.0
IAH,RSW,860.0,164.0,14.0
IAH,SAV,850.0,75.0,13.0
IAH,SMF,1608.0,146.0,14.0
IAH,TUS,935.0,74.0,12.0
IAH,ASE,914.0,70.0,14.0
IAH,COS,809.0,84.0,14.0
IAH,VCT,123.0,50.0,11.0
IAH,ONT,1332.0,128.0,7.0
IAH,RIC,1157.0,110.0,7.0
IAH,EGE,935.0,104.0,1.0
IAH,GRR,1044.0,94.0,7.0
IAH,GUC,,,
IAH,MEI,422.0,50.0,7.0
IAH,HOB,500.0,50.0,6.0
IAH,MTJ,927.0,76.0,7.0
IAH,ORF,1200.0,118.0,7.0
IAH,PBI,,179.0,
IAH,SJC,1607.0,146.0,7.0
IAH,ANC,3265.0,179.0,7.0
IAH,BOI,,,
IAH,LNK,,50.0,
IAH,PSP,,,
IAH,DRO,868.0,75.0,2.0
IAH,JAC,1266.0,123.0,2.0
IAH,RNO,1530.0,143.0,2.0
IAH,FCA,1614.0,132.0,2.0
IAH,MSN,,,
IAH,BZN,1386.0,75.0,2.0
IAH,HDN,,,
IAH,SAF,735.0,50.0,1.0
IAH,EYW,,,
IAH,SRQ,,,
IAH,BDL,,,
IAH,TVC,,,
