hub,destination,miles,seats/flight,flights/week
ORD,MEX,1691.0,143.0,7.0
ORD,CUN,1449.0,162.0,14.0
ORD,SJU,2076.0,179.0,8.0
ORD,PUJ,1986.0,178.0,7.0
ORD,MTY,1318.0,76.0,7.0
ORD,MBJ,1727.0,166.0,3.0
ORD,SJD,1809.0,150.0,2.0
ORD,TQO,,,
ORD,GRU,,,
ORD,GUA,1901.0,166.0,2.0
ORD,NAS,1315.0,167.0,2.0
ORD,AUA,2305.0,179.0,2.0
ORD,GCM,1615.0,179.0,2.0
ORD,LIR,2175.0,166.0,2.0
ORD,PLS,1666.0,139.0,1.0
ORD,PVR,1786.0,150.0,1.0
ORD,SJO,2223.0,166.0,1.0
ORD,STT,2119.0,154.0,166.0
ORD,SXM,2207.0,123.0,1.0
EWR,SJU,1614.0,209.0,20.0
EWR,CUN,1551.0,172.0,27.0
EWR,SDQ,1563.0,175.0,19.0
EWR,STI,1487.0,178.0,21.0
EWR,PUJ,1568.0,169.0,15.0
EWR,MBJ,1550.0,175.0,13.0
EWR,AUA,1966.0,175.0,14.0
EWR,SJO,2210.0,166.0,14.0
EWR,BOG,2489.0,166.0,14.0
EWR,MEX,2079.0,122.0,14.0
EWR,NAS,1099.0,166.0,13.0
EWR,PTY,2210.0,176.0,14.0
EWR,BDA,779.0,156.0,7.0
EWR,BQN,1591.0,172.0,7.0
EWR,GRU,,,
EWR,GUA,2057.0,166.0,7.0
EWR,LIM,,,
EWR,LIR,2195.0,166.0,7.0
EWR,PLS,1313.0,178.0,7.0
EWR,SAL,2089.0,169.0,7.0
EWR,TQO,,,
EWR,SAP,1931.0,173.0,3.0
EWR,POP,1463.0,179.0,2.0
EWR,SJD,2390.0,169.0,2.0
EWR,STT,1640.0,121.0,2.0
EWR,SXM,1699.0,125.0,2.0
EWR,ANU,1789.0,179.0,1.0
EWR,BGI,2107.0,179.0,1.0
EWR,BON,2008.0,166.0,1.0
EWR,BZE,1809.0,166.0,1.0
EWR,GCM,1540.0,179.0,1.0
EWR,PVR,2289.0,179.0,1.0
EWR,SKB,1755.0,179.0,1.0
EWR,UVF,2028.0,123.0,1.0
EWR,CUR,1996.0,123.0,1.0
DEN,CUN,1673.0,174.0,20.0
DEN,SJD,1192.0,166.0,7.0
DEN,PVR,1327.0,166.0,5.0
DEN,LIR,2340.0,166.0,7.0
DEN,SJU,2734.0,159.0,7.0
DEN,SJO,2418.0,166.0,2.0
DEN,BZE,1829.0,108.0,1.0
DEN,CZM,1701.0,166.0,1.0
DEN,RTB,1960.0,166.0,1.0
DEN,MBJ,2173.0,166.0,1.0
DEN,NAS,1878.0,166.0,1.0
LAX,SJD,912.0,162.0,9.0
LAX,SAL,2323.0,166.0,7.0
LAX,CUN,2119.0,162.0,20.0
LAX,PVR,1220.0,166.0,1.0
LAX,GUA,2197.0,166.0,7.0
LAX,LIR,2631.0,159.0,2.0
LAX,SJO,2725.0,166.0,2.0
LAX,BZE,2178.0,166.0,1.0
LAX,TQO,,,
SFO,MEX,1883.0,124.0,20.0
SFO,SJD,1251.0,166.0,14.0
SFO,PVR,1557.0,148.0,10.0
SFO,CUN,2408.0,178.0,15.0
SFO,LIR,2950.0,166.0,2.0
IAH,MEX,766.0,130.0,37.0
IAH,CUN,812.0,175.0,47.0
IAH,MTY,411.0,100.0,34.0
IAH,GDL,822.0,89.0,21.0
IAH,SAL,1212.0,171.0,21.0
IAH,SJO,1558.0,166.0,28.0
IAH,BJX,730.0,110.0,21.0
IAH,QRO,714.0,129.0,20.0
IAH,GUA,1108.0,166.0,21.0
IAH,PTY,1776.0,172.0,20.0
IAH,SAP,1110.0,166.0,14.0
IAH,SJD,1006.0,142.0,21.0
IAH,SJU,2008.0,172.0,16.0
IAH,LIR,1482.0,166.0,15.0
IAH,BZE,968.0,166.0,16.0
IAH,MGA,1367.0,161.0,14.0
IAH,NAS,1147.0,163.0,14.0
IAH,PVR,892.0,146.0,14.0
IAH,SLP,637.0,98.0,14.0
IAH,AGU,717.0,78.0,14.0
IAH,BOG,2229.0,166.0,14.0
IAH,MBJ,1353.0,166.0,9.0
IAH,GCM,1146.0,167.0,8.0
IAH,PUJ,1869.0,179.0,8.0
IAH,RTB,1098.0,166.0,8.0
IAH,EZE,5085.0,272.0,7.0
IAH,GIG,,,
IAH,GRU,,,
IAH,HAV,934.0,88.0,7.0
IAH,LIM,,,
IAH,MID,719.0,166.0,7.0
IAH,MLM,786.0,50.0,7.0
IAH,OAX,902.0,50.0,7.0
IAH,PBC,772.0,50.0,7.0
IAH,POS,2565.0,166.0,7.0
IAH,SCL,,,
IAH,TQO,,,
IAH,STT,2070.0,112.0,7.0
IAH,TAM,554.0,76.0,7.0
IAH,UIO,2361.0,166.0,7.0
IAH,VER,751.0,120.0,7.0
IAH,XPL,1185.0,117.0,7.0
IAH,CZM,839.0,166.0,7.0
IAH,PLS,1540.0,175.0,5.0
IAH,GEO,2906.0,166.0,4.0
IAH,AUA,2022.0,163.0,2.0
IAH,MZT,823.0,76.0,1.0
IAH,ZIH,939.0,130.0,1.0
IAH,ZLO,,,
IAH,ACA,956.0,76.0,1.0
IAH,BON,2129.0,166.0,1.0
IAD,SAL,1901.0,168.0,3.0
IAD,CUN,1359.0,175.0,14.0
IAD,GUA,1863.0,166.0,4.0
IAD,SJU,1576.0,164.0,9.0
IAD,PUJ,1511.0,178.0,8.0
IAD,STT,1610.0,113.0,8.0
IAD,AUA,1885.0,167.0,7.0
IAD,GRU,,,
IAD,MBJ,1413.0,167.0,7.0
IAD,MEX,1867.0,130.0,7.0
IAD,PLS,1226.0,167.0,7.0
IAD,GCM,1379.0,178.0,4.0
IAD,NAS,961.0,169.0,4.0
IAD,SJO,,,
IAD,SXM,1683.0,124.0,2.0
IAD,BGI,2100.0,166.0,1.0
