hub,destination,miles,seats/flight,flights/week
LAX,LAS,236.0,168.0,27.0
LAX,HNL,2555.0,276.0,34.0
LAX,SEA,955.0,174.0,14.0
LAX,PHX,369.0,93.0,18.0
LAX,SMF,373.0,75.0,7.0
LAX,BOS,2608.0,179.0,14.0
LAX,SLC,590.0,85.0,7.0
LAX,AUS,1240.0,118.0,11.0
LAX,YVR,1082.0,166.0,14.0
LAX,MCO,2216.0,169.0,13.0
LAX,OGG,2485.0,166.0,14.0
LAX,RNO,391.0,74.0,13.0
LAX,LIH,2614.0,166.0,8.0
LAX,ASE,736.0,70.0,14.0
LAX,BOI,675.0,86.0,13.0
LAX,BWI,2326.0,169.0,14.0
LAX,KOA,2504.0,193.0,14.0
LAX,SAN,108.0,86.0,20.0
LAX,YYC,1208.0,,
LAX,SBP,155.0,83.0,14.0
LAX,FAT,209.0,72.0,14.0
LAX,MRY,266.0,79.0,14.0
LAX,CLE,2050.0,165.0,13.0
LAX,TPA,2156.0,168.0,7.0
LAX,JAC,784.0,150.0,7.0
LAX,RDM,727.0,85.0,7.0
LAX,SBA,88.0,81.0,14.0
LAX,FCA,1016.0,70.0,7.0
LAX,SUN,697.0,71.0,2.0
LAX,RDD,501.0,85.0,7.0
LAX,ACV,577.0,86.0,7.0
LAX,BZN,903.0,170.0,7.0
LAX,PRC,345.0,50.0,6.0
LAX,EGE,,,
LAX,HDN,,,
LAX,MTJ,,,
LAX,PSP,,76.0,
