hub,destination,miles,seats/flight,flights/week
ORD,HND,6298.0,318.0,7.0
ORD,PEK,,,
ORD,PCV,,,
EWR,HND,6753.0,272.0,7.0
EWR,PEK,,,
EWR,PVG,,,
EWR,PVC,,,
EWR,HKG,,,
DEN,HND,,,
LAX,HND,5482.0,318.0,7.0
LAX,SYD,7504.0,252.0,7.0
LAX,HKG,7257.0,253.0,7.0
LAX,PVG,,,
LAX,MEL,7937.0,254.0,3.0
SFO,TPE,6465.0,311.0,14.0
SFO,ICN,5653.0,264.0,14.0
SFO,NRT,5118.0,350.0,7.0
SFO,SIN,8449.0,253.0,13.0
SFO,HKG,6923.0,346.0,14.0
SFO,MNL,6986.0,350.0,7.0
SFO,DEL,,,
SFO,PEK,5906.0,350.0,7.0
SFO,PVG,6145.0,350.0,7.0
SFO,AKL,6538.0,252.0,3.0
SFO,PPT,4200.0,260.0,5.0
SFO,KIX,5408.0,272.0,7.0
SFO,MEL,7872.0,253.0,7.0
SFO,BNE,7078.0,252.0,4.0
SFO,CTU,,,
SFO,CHC,,,
IAH,NRT,6638.0,253.0,7.0
IAD,HND,6776.0,273.0,7.0
IAD,PEK,,,
GUM,NRT,1565.0,166.0,25.0
GUM,MNL,1596.0,166.0,7.0
GUM,KIX,1568.0,166.0,10.0
GUM,FUK,1657.0,166.0,7.0
GUM,HNL,3800.0,350.0,7.0
GUM,NGO,1560.0,166.0,7.0
GUM,SPN,128.0,166.0,7.0
GUM,HND,1558.0,166.0,7.0
GUM,ROR,815.0,166.0,6.0
GUM,TKK,634.0,166.0,4.0
GUM,YAP,532.0,166.0,2.0
GUM,PNI,1016.0,166.0,1.0
