hub,destination,miles,seats/flight,flights/week
SFO,SEA,679.0,150.0,24.0
SFO,LAS,413.0,168.0,34.0
SFO,SAN,446.0,170.0,24.0
SFO,BOS,2701.0,178.0,27.0
SFO,DFW,1463.0,135.0,14.0
SFO,SLC,598.0,85.0,20.0
SFO,PHX,650.0,170.0,20.0
SFO,MSP,1587.0,163.0,7.0
SFO,ATL,2136.0,166.0,7.0
SFO,PDX,551.0,145.0,27.0
SFO,SNA,371.0,109.0,26.0
SFO,YVR,801.0,175.0,27.0
SFO,HNL,2399.0,301.0,34.0
SFO,YYZ,2256.0,166.0,7.0
SFO,BUR,326.0,148.0,25.0
SFO,AUS,1502.0,140.0,18.0
SFO,OGG,2339.0,286.0,14.0
SFO,FLL,2582.0,166.0,7.0
SFO,PSP,420.0,117.0,13.0
SFO,YYC,1019.0,129.0,7.0
SFO,BOI,522.0,109.0,14.0
SFO,MCO,2444.0,201.0,14.0
SFO,MIA,2584.0,165.0,7.0
SFO,ONT,363.0,131.0,13.0
SFO,PHL,2518.0,166.0,7.0
SFO,RDM,463.0,102.0,15.0
SFO,RNO,191.0,111.0,19.0
SFO,KOA,2369.0,209.0,14.0
SFO,ACV,249.0,71.0,14.0
SFO,ANC,2018.0,166.0,7.0
SFO,BNA,1965.0,155.0,14.0
SFO,DCA,2439.0,151.0,7.0
SFO,EUG,451.0,168.0,13.0
SFO,LIH,2447.0,160.0,14.0
SFO,MFR,330.0,165.0,14.0
SFO,RDD,199.0,62.0,14.0
SFO,RDU,2397.0,169.0,14.0
SFO,SBA,262.0,153.0,14.0
SFO,SBP,190.0,73.0,14.0
SFO,SMF,85.0,73.0,14.0
SFO,FAT,157.0,71.0,13.0
SFO,PIT,2250.0,164.0,13.0
SFO,TUS,751.0,72.0,11.0
SFO,JAC,737.0,130.0,7.0
SFO,ABQ,894.0,146.0,7.0
SFO,ASE,846.0,70.0,7.0
SFO,BWI,2453.0,156.0,7.0
SFO,BZN,807.0,139.0,7.0
SFO,CLE,2158.0,172.0,7.0
SFO,FCA,844.0,73.0,7.0
SFO,GEG,,70.0,
SFO,IND,1940.0,144.0,7.0
SFO,MCI,1497.0,178.0,7.0
SFO,MRY,77.0,74.0,7.0
SFO,MSO,769.0,72.0,7.0
SFO,MSY,1909.0,121.0,7.0
SFO,OTH,412.0,73.0,7.0
SFO,PSC,,0.0,
SFO,SAT,1481.0,166.0,7.0
SFO,TPA,2390.0,166.0,7.0
SFO,CMH,2117.0,134.0,7.0
SFO,RSW,,,
SFO,BFL,,76.0,
SFO,MTJ,,,
SFO,SDF,,,
SFO,SUN,587.0,74.0,2.0
SFO,BIH,,,
SFO,EGE,,,
SFO,HDN,,,
SFO,OMA,,,
SFO,MSN,,,
