destination,hub,flights/week,seats/flight,miles
LHR,ORD,21,197,3946
FRA,ORD,14,319,4336
CDG,ORD,7,318,4146
MUC,ORD,7,318,4522
ZRH,ORD,7,188,4436
DUB,ORD,7,157,3667
FCO,ORD,7,320,4816
KEF,ORD,7,169,2939
AMS,ORD,7,248,4113
BCN,ORD,7,272,4413
ATH,ORD,7,253,5456
MXP,ORD,7,251,4516
BRU,ORD,7,318,4152
EDI,ORD,7,170,3706
SNN,ORD,7,158,3584
TLV,ORD,,,
LHR,EWR,42,196,3459
TLV,EWR,8,318,5686
CDG,EWR,13,238,3643
DUB,EWR,14,201,3188
LIS,EWR,7,297,3380
OPO,EWR,14,158,3335
ATH,EWR,7,318,4950
BRU,EWR,14,225,3674
EDI,EWR,13,155,3262
FCO,EWR,12,273,4287
FRA,EWR,7,318,3863
KEF,EWR,7,170,2598
MUC,EWR,7,239,4045
NAP,EWR,14,189,4410
ZRH,EWR,7,191,3939
MXP,EWR,7,273,4004
DEL,EWR,7,253,7319
NCE,EWR,7,195,4001
AGP,EWR,7,158,3671
AMS,EWR,6,274,3651
ARN,EWR,6,163,3924
BCN,EWR,7,271,3842
DXB,EWR,7,272,6857
BER,EWR,,,
GVA,EWR,7,188,3872
JNB,EWR,7,253,8004
MAD,EWR,7,241,3602
SNN,EWR,7,168,3090
VCE,EWR,7,241,4162
PDL,EWR,4,166,2573
DBV,EWR,4,242,4520
FAO,EWR,,,
BOM,EWR,,,
CPT,EWR,3,273,7834
PMI,EWR,3,242,3929
TFS,EWR,,,
LHR,DEN,14,254,4663
FRA,DEN,7,254,5032
MUC,DEN,7,254,5218
LHR,LAX,14,254,5449
LHR,SFO,21,293,5360
FRA,SFO,14,350,5691
CDG,SFO,7,272,5576
AMS,SFO,7,275,5466
MUC,SFO,7,276,5871
ZRH,SFO,7,272,5833
FCO,SFO,7,273,6257
BCN,SFO,7,275,5963
TLV,SFO,,,
LHR,IAH,14,272,4829
FRA,IAH,7,273,5227
AMS,IAH,7,274,5008
MUC,IAH,7,214,5412
LHR,IAD,14,273,3671
CDG,IAD,14,243,3855
FRA,IAD,14,312,4075
DUB,IAD,7,154,3399
FCO,IAD,14,257,4499
LIS,IAD,7,229,3587
MUC,IAD,7,214,4257
ZRH,IAD,7,215,4151
AMS,IAD,7,242,3862
BRU,IAD,7,350,3886
MAD,IAD,7,241,3811
BCN,IAD,7,242,4054
EDI,IAD,7,166,3472
GVA,IAD,7,212,4085
ATH,IAD,7,242,5162
CPT,IAD,3,273,7940
ACC,IAD,3,242,5299
TLV,IAD,,,
AMM,IAD,3,243,5959
LOS,IAD,3,242,5444
BOM,EWR,,,
