destination,hub,flights/week,seats/flight,miles
SLC,DEN,51,109,390
PHX,DEN,34,165,602
SEA,DEN,46,153,1022
LAS,DEN,39,169,627
MSP,DEN,39,148,679
DFW,DEN,39,142,642
ATL,DEN,20,140,1198
SAN,DEN,46,169,852
COS,DEN,79,65,72
PDX,DEN,40,149,990
MCO,DEN,38,177,1546
AUS,DEN,39,151,776
BOS,DEN,43,168,1751
MCI,DEN,32,149,532
SMF,DEN,41,153,908
LGA,DEN,36,164,1617
BNA,DEN,26,162,1012
STL,DEN,21,148,768
SNA,DEN,34,156,845
BWI,DEN,20,155,1489
PHL,DEN,20,152,1555
SJC,DEN,33,139,947
SAT,DEN,27,150,796
OMA,DEN,27,152,471
MKE,DEN,27,106,894
BZN,DEN,34,126,524
DTW,DEN,14,128,1121
IND,DEN,20,143,975
ONT,DEN,19,139,818
TPA,DEN,20,168,1506
ABQ,DEN,27,122,349
CLT,DEN,13,129,1336
OKC,DEN,27,67,495
BOI,DEN,34,139,648
ASE,DEN,54,70,124
RNO,DEN,27,157,802
MIA,DEN,14,159,1709
RAP,DEN,46,100,300
DSM,DEN,27,131,587
TUL,DEN,27,89,541
TUS,DEN,20,81,639
BUR,DEN,14,145,849
CPR,DEN,37,50,229
GEG,DEN,20,144,835
PIT,DEN,20,160,1287
RDU,DEN,20,162,1435
CLE,DEN,19,172,1199
ELP,DEN,14,77,564
MSY,DEN,14,134,1062
CMH,DEN,14,165,1152
CVG,DEN,14,165,1067
BIL,DEN,33,107,455
DRO,DEN,34,97,250
GJT,DEN,33,94,211
FSD,DEN,27,99,482
LIT,DEN,20,83,770
JAC,DEN,29,126,405
PSP,DEN,20,80,775
SGF,DEN,27,71,635
EGE,DEN,27,71,119
FAT,DEN,20,91,842
FLL,DEN,20,167,1704
HDN,DEN,21,74,141
IDA,DEN,28,65,457
LNK,DEN,26,51,422
MTJ,DEN,21,116,196
SAF,DEN,28,70,303
SBA,DEN,14,146,915
YYZ,DEN,14,138,1313
DCA,DEN,7,166,1473
GRR,DEN,14,150,1013
MSN,DEN,20,123,824
XWA,DEN,,,
XNA,DEN,21,90,615
MAF,DEN,17,50,564
MSO,DEN,22,154,678
MEM,DEN,14,136,871
ANC,DEN,14,162,2403
BIS,DEN,21,57,517
COD,DEN,21,50,391
EUG,DEN,14,157,995
SDF,DEN,14,131,1022
BDL,DEN,13,146,1668
BHM,DEN,14,79,1082
CID,DEN,14,130,691
FCA,DEN,22,128,752
YYC,DEN,14,164,899
TYS,DEN,14,107,1160
GUC,DEN,15,73,151
AMA,DEN,13,50,359
CHS,DEN,7,142,1448
GCC,DEN,14,50,313
GTF,DEN,14,124,623
HLN,DEN,13,51,593
HNL,DEN,14,270,3364
HSV,DEN,14,72,1047
JAX,DEN,7,144,1446
MRY,DEN,14,74,958
RIW,DEN,13,50,295
MFR,DEN,14,165,962
SHR,DEN,13,50,359
MOT,DEN,14,66,604
PSC,DEN,14,79,852
RDM,DEN,14,135,896
RIC,DEN,7,164,1480
SBP,DEN,14,104,930
SUN,DEN,14,72,556
YEG,DEN,14,134,1019
CYS,DEN,12,50,89
DIK,DEN,12,50,488
BFF,DEN,11,50,149
BFL,DEN,12,72,844
HYS,DEN,11,50,297
LAR,DEN,11,50,113
LBB,DEN,6,50,456
LBF,DEN,10,50,226
ORF,DEN,7,166,1550
PNS,DEN,1,146,1179
SAV,DEN,7,137,1412
SGU,DEN,11,61,516
AVL,DEN,7,128,1246
SYR,DEN,7,137,1489
ECP,DEN,1,76,1250
RKS,DEN,14,50,259
GSP,DEN,7,99,1277
ATW,DEN,7,72,881
RSW,DEN,7,161,1607
OGG,DEN,8,345,3302
DAY,DEN,7,86,1083
SUX,DEN,6,50,465
GSO,DEN,7,72,1369
BIH,DEN,,,
LWS,DEN,7,51,767
LEX,DEN,7,87,1084
JMS,DEN,4,50,573
KOA,DEN,7,353,3329
LBL,DEN,5,50,279
LIH,DEN,7,164,3413
MLI,DEN,7,72,750
PRC,DEN,6,50,557
PWM,DEN,7,127,1779
SHV,DEN,7,71,792
SLN,DEN,6,50,382
BTV,DEN,7,134,1636
HOB,DEN,7,50,502
YWG,DEN,7,75,783
FAI,DEN,7,157,2427
SRQ,DEN,,,
DVL,DEN,9,50,638
TVC,DEN,6,127,1030
ACV,DEN,6,73,1024
DDC,DEN,7,50,292
JLN,DEN,5,50,581
MYR,DEN,1,150,1483
OTH,DEN,2,76,1039
WYS,DEN,2,50,468
PBI,DEN,,,
