destination,hub,flights/week,seats/flight,miles
ATL,EWR,44,148,745
MCO,EWR,52,169,939
YYZ,EWR,45,75,347
BOS,EWR,60,143,200
CLT,EWR,32,128,528
FLL,EWR,32,173,1067
DFW,EWR,36,146,1371
DTW,EWR,32,86,487
MIA,EWR,27,170,1088
DCA,EWR,62,50,198
YUL,EWR,20,75,331
LAS,EWR,44,166,2224
PIT,EWR,52,67,319
PHX,EWR,26,173,2131
MSP,EWR,20,160,1006
TPA,EWR,33,175,999
PBI,EWR,32,172,1026
SEA,EWR,26,158,2398
IND,EWR,39,72,643
RDU,EWR,31,151,416
CVG,EWR,26,64,568
BNA,EWR,31,118,747
CLE,EWR,38,129,403
CMH,EWR,36,86,461
YOQ,EWR,,,
RIC,EWR,34,54,277
SAN,EWR,26,172,2423
AUS,EWR,26,138,1503
RSW,EWR,19,171,1070
CHS,EWR,20,122,628
MYR,EWR,14,94,551
MSY,EWR,20,122,1167
PWM,EWR,24,86,284
GSO,EWR,20,64,445
MDT,EWR,11,50,140
BTV,EWR,20,95,266
GRR,EWR,20,75,604
JAX,EWR,20,132,821
ORF,EWR,20,113,284
PDX,EWR,13,164,2430
SDF,EWR,20,73,641
SLC,EWR,7,123,1965
SNA,EWR,20,122,2431
STL,EWR,20,111,870
YHZ,EWR,14,76,612
GSP,EWR,19,75,594
MKE,EWR,19,75,723
ROC,EWR,19,98,246
SYR,EWR,19,65,194
ALB,EWR,14,57,142
BUF,EWR,18,93,281
ILM,EWR,14,51,489
PVD,EWR,14,56,159
SAT,EWR,11,136,1569
AVL,EWR,14,76,582
ACK,EWR,13,50,217
SRQ,EWR,14,150,1036
PHL,EWR,12,72,79
BGR,EWR,14,74,392
ITH,EWR,14,50,171
MHT,EWR,13,50,209
SAV,EWR,14,136,709
YQB,EWR,14,75,443
YVR,EWR,7,172,2425
SCE,EWR,12,50,192
PQI,EWR,13,51,515
AVP,EWR,11,50,92
MCI,EWR,12,116,1090
MEM,EWR,12,109,945
MSN,EWR,7,75,797
BZN,EWR,7,140,1879
EGE,EWR,,,
ANC,EWR,7,166,3365
EYW,EWR,7,120,1199
TVC,EWR,7,50,643
HNL,EWR,,,
JAC,EWR,6,119,1870
MTJ,EWR,,,
HHH,EWR,7,67,688
SMF,EWR,7,176,2497
HDN,EWR,,,
OMA,EWR,,,
