hub,destination,miles,seats/flight,flights/week
ORD,DEN,886.0,200.0,67.0
ORD,LAX,1743.0,216.0,57.0
ORD,EWR,717.0,167.0,78.0
ORD,IAH,927.0,173.0,74.0
ORD,SFO,1844.0,236.0,71.0
ORD,IAD,587.0,167.0,34.0
EWR,LAX,2451.0,226.0,60.0
EWR,ORD,717.0,167.0,79.0
EWR,IAH,1400.0,168.0,68.0
EWR,SFO,2562.0,230.0,60.0
EWR,DEN,1602.0,174.0,61.0
EWR,IAD,211.0,122.0,34.0
DEN,LAX,861.0,178.0,60.0
DEN,ORD,886.0,202.0,67.0
DEN,SFO,965.0,221.0,61.0
DEN,IAH,863.0,187.0,75.0
DEN,EWR,1602.0,173.0,61.0
DEN,IAD,1450.0,203.0,47.0
LAX,SFO,337.0,167.0,52.0
LAX,DEN,861.0,175.0,60.0
LAX,ORD,1743.0,216.0,58.0
LAX,IAH,1377.0,177.0,67.0
LAX,EWR,2451.0,228.0,60.0
LAX,IAD,2285.0,214.0,40.0
SFO,LAX,337.0,168.0,52.0
SFO,ORD,1844.0,233.0,71.0
SFO,DEN,965.0,221.0,61.0
SFO,EWR,2562.0,230.0,60.0
SFO,IAH,1634.0,201.0,61.0
SFO,IAD,2415.0,225.0,40.0
IAH,ORD,927.0,171.0,74.0
IAH,DEN,863.0,189.0,75.0
IAH,LAX,1377.0,178.0,68.0
IAH,EWR,1400.0,170.0,66.0
IAH,SFO,1634.0,200.0,60.0
IAH,IAD,1190.0,159.0,34.0
IAD,DEN,1450.0,206.0,47.0
IAD,LAX,2285.0,209.0,40.0
IAD,SFO,2415.0,232.0,41.0
IAD,IAH,1190.0,159.0,34.0
IAD,ORD,587.0,165.0,34.0
IAD,EWR,211.0,121.0,34.0
