destination,hub,flights/week,seats/flight,miles
DFW,IAH,38,118,224
ATL,IAH,30,121,688
LAS,IAH,40,164,1221
LGA,IAH,49,115,1416
MCO,IAH,40,163,853
MIA,IAH,21,169,963
DTW,IAH,18,121,1076
MSY,IAH,54,136,304
BNA,IAH,39,108,656
PHX,IAH,33,144,1008
CLT,IAH,20,113,912
SAT,IAH,54,119,190
AUS,IAH,54,136,139
OKC,IAH,35,83,396
FLL,IAH,26,166,965
CRP,IAH,27,62,201
SEA,IAH,28,161,1874
BOS,IAH,33,161,1597
PHL,IAH,19,144,1324
MAF,IAH,44,74,428
MSP,IAH,17,98,1036
ELP,IAH,29,69,666
LFT,IAH,30,59,200
SAN,IAH,32,171,1302
MFE,IAH,29,87,316
SLC,IAH,20,122,1195
TUL,IAH,18,94,430
BTR,IAH,32,60,252
DCA,IAH,37,129,1207
XNA,IAH,34,61,439
HSV,IAH,26,49,594
LIT,IAH,21,58,375
MEM,IAH,14,126,469
SHV,IAH,34,49,192
TYS,IAH,27,49,771
TPA,IAH,27,165,786
BHM,IAH,17,64,561
BRO,IAH,30,55,309
BWI,IAH,18,139,1235
CLE,IAH,24,157,1092
CVG,IAH,23,100,871
HRL,IAH,27,56,295
ICT,IAH,26,49,543
JAN,IAH,26,49,350
MOB,IAH,18,53,426
PNS,IAH,27,74,488
SGF,IAH,26,49,514
SNA,IAH,27,141,1345
YYZ,IAH,14,136,1281
ABQ,IAH,27,88,743
STL,IAH,23,116,668
IND,IAH,25,136,845
LBB,IAH,25,50,457
LRD,IAH,26,50,301
MCI,IAH,24,89,645
RDU,IAH,20,125,1042
PIB,IAH,6,50,371
LCH,IAH,19,49,126
YYC,IAH,11,147,1750
AMA,IAH,18,50,517
ECP,IAH,9,53,571
GPT,IAH,20,49,376
JAX,IAH,20,120,816
PDX,IAH,20,153,1824
YVR,IAH,13,149,1971
SDF,IAH,7,71,788
PIT,IAH,25,114,1117
CMH,IAH,18,124,986
CHS,IAH,14,96,924
DSM,IAH,14,115,804
GSP,IAH,11,112,837
HNL,IAH,14,354,3902
MKE,IAH,8,76,986
OMA,IAH,20,100,783
RSW,IAH,14,168,860
SAV,IAH,13,74,850
SMF,IAH,13,145,1608
TUS,IAH,13,78,935
ASE,IAH,13,70,914
COS,IAH,14,76,809
VCT,IAH,10,50,123
ONT,IAH,7,129,1332
RIC,IAH,7,105,1157
EGE,IAH,2,109,935
GRR,IAH,7,94,1044
GUC,IAH,,76,886
MEI,IAH,11,50,422
HOB,IAH,6,50,500
MTJ,IAH,7,76,927
ORF,IAH,7,121,1200
PBI,IAH,,179,
SJC,IAH,6,142,1607
ANC,IAH,7,166,3265
BOI,IAH,,,
LNK,IAH,,50,
PSP,IAH,,,
DRO,IAH,2,75,868
JAC,IAH,2,123,1266
RNO,IAH,2,144,1530
FCA,IAH,2,131,1614
MSN,IAH,,,
BZN,IAH,2,76,1386
HDN,IAH,,9,986
SAF,IAH,1,50,735
EYW,IAH,,,
SRQ,IAH,,,
BDL,IAH,,,
TVC,IAH,,76,1151
