destination,hub,flights/week,seats/flight,miles
MEX,ORD,7,140,1691
CUN,ORD,13,169,1449
SJU,ORD,8,179,2076
PUJ,ORD,7,178,1986
MTY,ORD,7,76,1318
MBJ,ORD,3,167,1727
SJD,ORD,2,150,1809
TQO,ORD,,,
GRU,ORD,,,
GUA,ORD,2,166,1901
NAS,ORD,2,167,1315
AUA,ORD,3,163,2305
GCM,ORD,2,179,1615
LIR,ORD,2,166,2175
PLS,ORD,1,177,1666
PVR,ORD,1,150,1786
SJO,ORD,1,166,2223
STT,ORD,1,166,2119
SXM,ORD,1,124,2207
SJU,EWR,21,204,1614
CUN,EWR,27,173,1551
SDQ,EWR,21,176,1563
STI,EWR,21,178,1487
PUJ,EWR,15,178,1568
MBJ,EWR,14,175,1550
AUA,EWR,14,174,1966
SJO,EWR,15,166,2210
BOG,EWR,14,166,2489
MEX,EWR,13,122,2079
NAS,EWR,13,167,1099
PTY,EWR,14,174,2210
BDA,EWR,7,153,779
BQN,EWR,7,172,1591
GRU,EWR,,,
GUA,EWR,7,166,2057
LIM,EWR,,,
LIR,EWR,7,166,2195
PLS,EWR,7,167,1313
SAL,EWR,7,168,2089
TQO,EWR,,,
SAP,EWR,3,173,1931
POP,EWR,2,179,1463
SJD,EWR,2,170,2390
STT,EWR,2,122,1640
SXM,EWR,2,125,1699
ANU,EWR,1,179,1789
BGI,EWR,1,179,2107
BON,EWR,1,166,2008
BZE,EWR,1,127,1809
GCM,EWR,1,179,1540
PVR,EWR,1,179,2289
SKB,EWR,1,179,1755
UVF,EWR,1,124,2028
CUR,EWR,1,122,1996
CUN,DEN,21,171,1673
SJD,DEN,7,166,1192
PVR,DEN,5,167,1327
LIR,DEN,7,166,2340
SJU,DEN,7,153,2734
SJO,DEN,2,166,2418
BZE,DEN,1,166,1829
CZM,DEN,1,166,1701
RTB,DEN,1,166,1960
MBJ,DEN,166,193,2173
NAS,DEN,1,166,1878
SJD,LAX,9,162,912
SAL,LAX,7,166,2323
CUN,LAX,20,165,2119
PVR,LAX,1,168,1220
GUA,LAX,7,166,2197
LIR,LAX,2,159,2631
SJO,LAX,2,166,2725
BZE,LAX,1,168,2178
TQO,LAX,,,
MEX,SFO,21,127,1883
SJD,SFO,14,166,1251
PVR,SFO,10,148,1557
CUN,SFO,16,178,2408
LIR,SFO,2,166,2950
MEX,IAH,37,130,766
CUN,IAH,47,170,812
MTY,IAH,35,100,411
GDL,IAH,22,89,822
SAL,IAH,22,175,1212
SJO,IAH,28,166,1558
BJX,IAH,21,111,730
QRO,IAH,21,127,714
GUA,IAH,21,166,1108
PTY,IAH,21,173,1776
SAP,IAH,14,166,1110
SJD,IAH,21,146,1006
SJU,IAH,17,172,2008
LIR,IAH,17,167,1482
BZE,IAH,16,166,968
MGA,IAH,14,163,1367
NAS,IAH,12,168,1147
PVR,IAH,14,146,892
SLP,IAH,14,97,637
AGU,IAH,14,68,717
BOG,IAH,14,166,2229
MBJ,IAH,9,166,1353
GCM,IAH,8,168,1146
PUJ,IAH,8,179,1869
RTB,IAH,8,166,1098
EZE,IAH,6,271,5085
GIG,IAH,,,
GRU,IAH,,,
HAV,IAH,7,91,934
LIM,IAH,,,
MID,IAH,7,166,719
MLM,IAH,7,50,786
OAX,IAH,7,50,902
PBC,IAH,7,50,772
POS,IAH,7,166,2565
SCL,IAH,,,
TQO,IAH,,,
STT,IAH,6,110,2070
TAM,IAH,7,76,554
UIO,IAH,7,166,2361
VER,IAH,7,120,751
XPL,IAH,7,121,1185
CZM,IAH,7,166,839
PLS,IAH,5,175,1540
GEO,IAH,4,166,2906
AUA,IAH,3,179,2022
MZT,IAH,1,76,823
ZIH,IAH,1,119,939
ZLO,IAH,,,
ACA,IAH,1,76,956
BON,IAH,1,166,2129
SAL,IAD,3,143,1901
CUN,IAD,14,174,1359
GUA,IAD,4,166,1863
SJU,IAD,9,172,1576
PUJ,IAD,8,169,1511
STT,IAD,8,116,1610
AUA,IAD,7,179,1885
GRU,IAD,,,
MBJ,IAD,7,167,1413
MEX,IAD,7,125,1867
PLS,IAD,7,167,1226
GCM,IAD,4,178,1379
NAS,IAD,4,179,961
SJO,IAD,,,
SXM,IAD,2,124,1683
BGI,IAD,1,169,2100
