destination,hub,flights/week,seats/flight,miles
LAS,LAX,27,167,236
HNL,LAX,35,272,2555
SEA,LAX,14,161,955
PHX,LAX,18,95,369
SMF,LAX,7,75,373
BOS,LAX,14,178,2608
SLC,LAX,7,85,590
AUS,LAX,11,124,1240
YVR,LAX,14,165,1082
MCO,LAX,14,168,2216
OGG,LAX,14,166,2485
RNO,LAX,14,74,391
LIH,LAX,8,166,2614
ASE,LAX,14,70,736
BOI,LAX,14,85,675
BWI,LAX,14,174,2326
KOA,LAX,14,191,2504
SAN,LAX,20,86,108
YYC,LAX,1,150,1208
SBP,LAX,14,83,155
FAT,LAX,14,73,209
MRY,LAX,14,80,266
CLE,LAX,12,164,2050
TPA,LAX,7,168,2156
JAC,LAX,7,150,784
RDM,LAX,7,85,727
SBA,LAX,14,81,88
FCA,LAX,7,70,1016
SUN,LAX,3,72,697
RDD,LAX,7,86,501
ACV,LAX,7,86,577
BZN,LAX,7,169,903
PRC,LAX,7,50,345
EGE,LAX,,,
HDN,LAX,,,
MTJ,LAX,,,
PSP,LAX,,70,
