destination,hub,flights/week,seats/flight,miles
HND,ORD,7,318,6298
PEK,ORD,,,
PCV,ORD,,,
HND,EWR,7,272,6753
PEK,EWR,,,
PVG,EWR,,,
PVC,EWR,,,
HKG,EWR,,,
HND,DEN,,,
HND,LAX,7,318,5482
SYD,LAX,7,253,7504
HKG,LAX,7,254,7257
PVG,LAX,,,
MEL,LAX,3,255,7937
TPE,SFO,14,311,6465
ICN,SFO,14,264,5653
NRT,SFO,7,350,5118
SIN,SFO,14,252,8449
HKG,SFO,15,345,6923
MNL,SFO,7,350,6986
DEL,SFO,,,
PEK,SFO,7,350,5906
PVG,SFO,7,350,6145
AKL,SFO,3,252,6538
PPT,SFO,5,259,4200
KIX,SFO,7,272,5408
MEL,SFO,8,253,7872
BNE,SFO,4,252,7078
CTU,SFO,,,
CHC,SFO,,,
NRT,IAH,7,253,6638
HND,IAD,7,273,6776
PEK,IAD,,,
NRT,GUM,25,166,1565
MNL,GUM,7,166,1596
KIX,GUM,10,166,1568
FUK,GUM,7,166,1657
HNL,GUM,7,350,3800
NGO,GUM,7,166,1560
SPN,GUM,7,166,128
HND,GUM,7,166,1558
ROR,GUM,6,166,815
TKK,GUM,5,166,634
YAP,GUM,2,166,532
PNI,GUM,,,
