destination,hub,flights/week,seats/flight,miles
SEA,SFO,25,152,679
LAS,SFO,33,168,413
SAN,SFO,24,170,446
BOS,SFO,27,178,2701
DFW,SFO,14,135,1463
SLC,SFO,20,86,598
PHX,SFO,21,172,650
MSP,SFO,7,161,1587
ATL,SFO,7,164,2136
PDX,SFO,27,144,551
SNA,SFO,26,112,371
YVR,SFO,27,172,801
HNL,SFO,33,301,2399
YYZ,SFO,7,166,2256
BUR,SFO,25,144,326
AUS,SFO,18,137,1502
OGG,SFO,14,289,2339
FLL,SFO,7,166,2582
PSP,SFO,13,113,420
YYC,SFO,7,132,1019
BOI,SFO,14,107,522
MCO,SFO,14,208,2444
MIA,SFO,7,166,2584
ONT,SFO,13,132,363
PHL,SFO,7,178,2518
RDM,SFO,14,103,463
RNO,SFO,19,112,191
KOA,SFO,14,210,2369
ACV,SFO,13,71,249
ANC,SFO,7,166,2018
BNA,SFO,14,159,1965
DCA,SFO,7,166,2439
EUG,SFO,14,144,451
LIH,SFO,14,166,2447
MFR,SFO,14,163,330
RDD,SFO,13,62,199
RDU,SFO,14,162,2397
SBA,SFO,13,151,262
SBP,SFO,14,72,190
SMF,SFO,14,73,85
FAT,SFO,13,74,157
PIT,SFO,12,164,2250
TUS,SFO,11,73,751
JAC,SFO,7,130,737
ABQ,SFO,6,146,894
ASE,SFO,7,70,846
BWI,SFO,7,164,2453
BZN,SFO,7,137,807
CLE,SFO,7,172,2158
FCA,SFO,7,73,844
GEG,SFO,,70,
IND,SFO,6,153,1940
MCI,SFO,7,177,1497
MRY,SFO,7,72,77
MSO,SFO,7,72,769
MSY,SFO,7,156,1909
OTH,SFO,7,73,412
PSC,SFO,,76,
SAT,SFO,7,167,1481
TPA,SFO,7,166,2390
CMH,SFO,7,134,2117
RSW,SFO,,,
BFL,SFO,,0,
MTJ,SFO,,,
SDF,SFO,,,
SUN,SFO,2,75,587
BIH,SFO,,,
EGE,SFO,,,
HDN,SFO,,,
OMA,SFO,,,
MSN,SFO,,,
